site_id,stream_name,utm_zone,easting,northing,target,lab_ids,source,control_blank_field,control_blank_office,control_species_present_field,n_runs,n_sheets,retested,max_pos,max_conc,any_clean,any_crude
125194_ds_ed1b,NA,10,563324,6050501,BULT,M21243,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125194_ds_ed1b,NA,10,563324,6050501,RAIN,M21243,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125231_ds_ed1a,Tributary To Table River,10,549932,6065099,BULT,M41355,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,TRUE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_ds_ed1a,Tributary To Table River,10,549932,6065099,GRAY,M41355,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,TRUE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_ds_ed1a,Tributary To Table River,10,549932,6065099,RAIN,M41355,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,TRUE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_ds_ed1a,Tributary To Table River,10,549932,6065099,SOCK,M41355,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,TRUE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_ds_ed1c,Tributary To Table River,10,549933,6065096,BULT,M41356,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_ds_ed1c,Tributary To Table River,10,549933,6065096,GRAY,M41356,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_ds_ed1c,Tributary To Table River,10,549933,6065096,RAIN,M41356,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,205,12.6420545578003,TRUE,TRUE
125231_ds_ed1c,Tributary To Table River,10,549933,6065096,SOCK,M41356,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_us_ed1,Tributary To Table River,10,549974,6065147,BULT,M41357,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_us_ed1,Tributary To Table River,10,549974,6065147,GRAY,M41357,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125231_us_ed1,Tributary To Table River,10,549974,6065147,RAIN,M41357,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,5,0.300833761692047,TRUE,TRUE
125231_us_ed1,Tributary To Table River,10,549974,6065147,SOCK,M41357,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_ds_ed1,Fern Creek,10,534654,6067619,BULT,M41358,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_ds_ed1,Fern Creek,10,534654,6067619,GRAY,M41358,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_ds_ed1,Fern Creek,10,534654,6067619,RAIN,M41358,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,258,18.2161350250244,TRUE,TRUE
125261_ds_ed1,Fern Creek,10,534654,6067619,SOCK,M41358,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
